P2-K108,CONNECTION 9 OPEN NORMAL,,Y033
P2-K1C8,CONNECTION 9 RECEPTION DEMAND,,
P2-K039,STOP POS.10 AGV PRESENCE MEMORY(DESTINATION SELECT),,X201
P2-K158,CONNECTION 25 TRANSMISSION COMPLETED,,
P2-K169,CONNECTION 10 RECEPTION COMPLETED,,
P2-K1A3,CONNECTION 4 TRANSMISSION DEMAND,,
P2-K1B3,CONNECTION 20 TRANSMISSION DEMAND,,
P2-K014,STOP POS.5 AGV PRESENCE MEMORY,,Y24D
P2-K1DE,CONNECTION 31 RECEPTION DEMAND,,
P2-K1BB,CONNECTION 28 TRANSMISSION DEMAND,,
P2-K067,STOP POS.24ÅÀ MOVEMENT MEMORY,,X00C
P2-K04F,STOP POS.32 AGV PRESENCE MEMORY(DESTINATION SELECT),,X009
P2-K03D,STOP POS.14 AGV PRESENCE MEMORY(DESTINATION SELECT),,
P2-K184,STOP POS.2-4ÅÀ2-5 MOVEMENT MEMORY,,
P2-K172,CONNECTION 19 RECEPTION COMPLETED,,
P2-K051,STOP POS.2ÅÀ MOVEMENT MEMORY,,Y012
P2-K06B,STOP POS.28ÅÀ MOVEMENT MEMORY,,X209
P1-K058,CART LOAD COMPLETED<AGV BACK UP MODE>,,
P1-K143,PARTS SET COMPLETED(UMR1-2)(For AGV),,
P2-K015,STOP POS.6 AGV PRESENCE MEMORY,,Y211
P2-K157,CONNECTION 24 TRANSMISSION COMPLETED,,
P2-K1A2,CONNECTION 3 TRANSMISSION DEMAND,,
P2-K1DF,CONNECTION 32 RECEPTION DEMAND,,
P2-K1BC,CONNECTION 29 TRANSMISSION DEMAND,,
P2-K11C,CONNECTION 29 OPEN NORMAL,,X00A
P2-K01D,STOP POS.14 AGV PRESENCE MEMORY,,Y016
P2-K03E,STOP POS.15 AGV PRESENCE MEMORY(DESTINATION SELECT),,
P2-K056,STOP POS.7ÅÀ MOVEMENT MEMORY,,Y21D
P2-K1B0,CONNECTION 17 TRANSMISSION DEMAND,,
P2-K066,STOP POS.23ÅÀ MOVEMENT MEMORY,,Y21B
P2-K185,STOP POS.2-5ÅÀ2-6 MOVEMENT MEMORY,,
P2-K14A,CONNECTION 11 TRANSMISSION COMPLETED,,Y032
P2-K04A,STOP POS.27 AGV PRESENCE MEMORY(DESTINATION SELECT),,X224
P2-K06A,STOP POS.27ÅÀ MOVEMENT MEMORY,,Y216
P2-K109,CONNECTION 10 OPEN NORMAL,,X232
P2-K148,CONNECTION 9 TRANSMISSION COMPLETED,,X206
P2-K01E,STOP POS.15 AGV PRESENCE MEMORY,,Y017
P2-K057,STOP POS.8ÅÀ MOVEMENT MEMORY,,
P2-K156,CONNECTION 23 TRANSMISSION COMPLETED,,
P2-K1A1,CONNECTION 2 TRANSMISSION DEMAND,,
P2-K1D4,CONNECTION 21 RECEPTION DEMAND,,
P2-K03F,STOP POS.16 AGV PRESENCE MEMORY(DESTINATION SELECT),,X00F
P2-K1B1,CONNECTION 18 TRANSMISSION DEMAND,,
P2-K11B,CONNECTION 28 OPEN NORMAL,,X22A
P2-K012,STOP POS.3 AGV PRESENCE MEMORY,,Y03A
P2-K186,STOP POS.2-6ÅÀ MOVEMENT MEMORY,,
P2-K065,STOP POS.22ÅÀ MOVEMENT MEMORY,,X00B
P2-K14B,CONNECTION 12 TRANSMISSION COMPLETED,,Y01B
P2-K149,CONNECTION 10 TRANSMISSION COMPLETED,,Y25A
P2-K1AC,CONNECTION 13 TRANSMISSION DEMAND,,
P2-K1D5,CONNECTION 22 RECEPTION DEMAND,,
P2-K013,STOP POS.4 AGV PRESENCE MEMORY,,Y25D
P2-K155,CONNECTION 22 TRANSMISSION COMPLETED,,
P2-K1A0,CONNECTION 1 TRANSMISSION DEMAND,,
P2-K023,STOP POS.20 AGV PRESENCE MEMORY,,Y253
P2-K01B,STOP POS.12 AGV PRESENCE MEMORY,,
P2-K1BA,CONNECTION 27 TRANSMISSION DEMAND,,
P2-K11A,CONNECTION 27 OPEN NORMAL,,Y01A
P2-K14C,CONNECTION 13 TRANSMISSION COMPLETED,,Y25E
P2-K054,STOP POS.5ÅÀ MOVEMENT MEMORY,,X22D
P2-K04C,STOP POS.29 AGV PRESENCE MEMORY(DESTINATION SELECT),,
P2-K064,STOP POS.21ÅÀ MOVEMENT MEMORY,,Y252
P2-K1A7,CONNECTION 8 TRANSMISSION DEMAND,,
P2-K049,STOP POS.26 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y036
P2-K1D6,CONNECTION 23 RECEPTION DEMAND,,
P2-K113,CONNECTION 20 OPEN NORMAL,,Y259
P2-K1AB,CONNECTION 12 TRANSMISSION DEMAND,,
P2-K01C,STOP POS.13 AGV PRESENCE MEMORY,,
P2-K154,CONNECTION 21 TRANSMISSION COMPLETED,,
P2-K055,STOP POS.6ÅÀ MOVEMENT MEMORY,,Y014
P2-K022,STOP POS.19 AGV PRESENCE MEMORY,,Y24A
