P1-P003,SELECT PL CLEA,,
P2-K008,2->3ST UPPER CONVEYANCE MEMORY,,
P3-K011,MANUAL,,
P3-K022,REGULAR CORRECTION,,
P2-K063,3->2ST LOWER LOADING MEMORY,,
P2-K010,3->4ST UPPER CONVEYANCE MEMORY,,
P3-K010,AUTO,,
P3-K023,FIXED QUANTITY CORRECTION,,
P2-K062,4->3ST LOWER LOADING MEMORY,,
P2-K074,6->5ST LOWER LOADING MEMORY,,
P3-K013,FIXED QUANTITY EXCHANGE,,
P1-K011,RRPK-2 IN FAILURE,,
P2-K061,3->2ST LOWER LOADING MEMORY,,
P2-K075,7->6ST LOWER LOADING MEMORY,,
P2-K020,5->6ST UPPER CONVEYANCE MEMORY,,
P3-K012,PERIODIC EXCHANGE,,
P1-K010,RRPK-1 IN FAILURE,,
P2-K060,4->3ST LOWER LOADING MEMORY,,
P2-K076,8->7ST LOWER LOADING MEMORY,,
P2-K030,7->8ST UPPER CONVEYANCE MEMORY,,
P2-K077,9->8ST LOWER LOADING MEMORY,,
P2-K070,2->1ST LOWER LOADING MEMORY,,
P1-K00F,ALL COLLATION COMPLETED,,
P2-K071,3->2ST LOWER LOADING MEMORY,,
P1-K031,PARTS SET COMPLETE MEMORY,,
P2-K072,4->3ST LOWER LOADING MEMORY,,
P2-K000,1->2ST UPPER CONVEYANCE MEMORY,,
P1-K101,ROBOT CLEANING RETURN ON MEMORY,,
P1-K030,PICKUP COMPLETE MEMORY,,
P2-K073,5->4ST LOWER LOADING MEMORY,,
P2-K018,4->5ST UPPER CONVEYANCE MEMORY,,
P1-K100,ROBOT CLEANING START ON MEMORY,,
P1-K032,PROD.INSTR.-LUGE CAR MODEL COLLATION OK MEMORY,,
P1-K020,PALLET CAR TYPE SET MEMORY,,
P2-K040,9->10ST UPPER CONVEYANCE MEMORY,,
P2-K028,6->7ST UPPER CONVEYANCE MEMORY,,
P3-K024,CUT OFF,,
P2-K050,3->4ST UPPER LOADING MEMORY,,
P2-K068,2->1ST LOWER LOADING MEMORY,,
P2-K038,8->9ST UPPER CONVEYANCE MEMORY,,
P3-V0AD,P3:L4ﾊﾟﾗﾒｰﾀ異常,,
P1-V0A2,P1-L1 COMMUNICATION ALARM,,
P1-V084,L5 COMMUNICATION RESET,,
P1-V051,照合 NG,,
P1-V0F0,ﾊﾞｯﾃﾘ異常,,
P1-V0AE,P1-L4 COMMUNICATION ALARM PL,,
P2-V004,Always ON,,
P3-V0B2,P3-L5 COMMUNICATION ALARM,,
P3-V0AE,P3-L4 COMMUNICATION ALARM,,
P1-V052,照合 OK,,
P1-V083,L4 COMMUNICATION RESET,,
P1-V0B6,P1-L6 COMMUNICATION ALARM PL,,
P2-V005,Always OFF,,
P2-V072,1.0s CLOCK,,
P3-V0A1,P3:L1ﾊﾟﾗﾒｰﾀ異常,,
P1-V053,照合 NG,,
P1-V082,L3 COMMUNICATION RESET,,
P1-V027,CPU RUN,,
P2-V0AA,P2:L3 COMMUNICATION FAULT,,
P1-V0C2,ﾒﾓﾘﾃﾞｰﾀ異常,,
P1-V081,L2 COMMUNICATION RESET,,
P2-V0A9,P2:L3 PARAMETER FAULT,,
P3-V005,NORMALLY OFF,,
P3-V027,RUNNING ON,,
P1-V0AA,P1-L3 COMMUNICATION ALARM,,
P1-V080,LINK1 COMMUNICATION RESET,,
P2-V0BE,P2:L8 COMMUNICATION FAULT,,
P3-V0B6,P3-L6 COMMUNICATION ALARM,,
P3-V0AA,P3-L3 COMMUNICATION ALARM,,
P3-V004,NORMALLY ON,,
P1-V0B2,P1-L5 COMMUNICATION ALARM PL,,
P1-V056,ｷｬﾘ ON,,
P1-V0C0,CPU異常,,
P2-V0B6,P2:L6 COMMUNICATION FAULT,,
P3-V006,1 SCAN ON,,
P3-V0BA,P3-L7 COMMUNICATION ALARM,,
P1-V074,60 SECOND CLOCK,,
P1-V0A9,P1:L3ﾊﾟﾗﾒｰﾀ異常,,
P2-V0A5,P2:L2 PARAMETER FAULT,,
P2-V0BA,P2:L7 COMMUNICATION FAULT,,
P3-V055,ﾎﾞﾛｰ,,
P1-V006,1st SCAN,,
P3-V072,ONE SECOND CLOCK,,
P1-V072,1.0s CLOCK,,
P1-V005,ALWAYS OFF,,
P2-V0B2,P2:L5 COMMUNICATION FAULT,,
P3-V0A9,P3:L3ﾊﾟﾗﾒｰﾀ異常,,
P3-V073,TWO SECOND CLOCK,,
P3-V0BE,P3-L8 COMMUNICATION ALARM,,
P1-V073,TWO SECOND CLOCK,,
P1-V004,ALWAYS ON,,
P2-V0A6,P2:L2 COMMUNICATION FAULT,,
P2-V055,BOLLOW,,
P3-V0A6,P3-L2 COMMUNICATION ALARM,,
P1-V070,0.1 SECOND CLOCK,,
P1-V0A5,P1:L2ﾊﾟﾗﾒｰﾀ異常,,
P1-V0BE,P1-L8 COMMUNICATION ALARM PL,,
P1-V003,ALARM,,
P2-V0A1,P2:L1 PARAMETER FAULT,,
P1-V071,0.2s CLOCK,,
P1-V0A6,P1-L2 COMMUNICATION ALARM,,
P3-V090,LINK 1 USE OK,,
P1-V087,P1:L8 COMMUNICATION RESET,,
P3-V0A5,P3:L2ﾊﾟﾗﾒｰﾀ異常,,
P1-V086,L7 COMMUNICATION RESET,,
P2-V0AE,P2:L4 COMMUNICATION FAULT,,
P2-V006,1SCAN ON,,
P2-V0A2,P2:L1 COMMUNICATION FAULT,,
P3-V0A2,P3-L1 COMMUNICATION ALARM,,
P1-V0A1,P1:L1ﾊﾟﾗﾒｰﾀ異常,,
P1-V0BA,P1-L7 COMMUNICATION ALARM PL,,
P1-V085,L6 COMMUNICATION RESET,,
P1-V0AD,P1:L4ﾊﾟﾗﾒｰﾀ異常,,
P2-V0AD,P2:L4 PARAMETER FAULT,,
P3-T036,MANUAL ACTION SW47- CYCLE TIME MEASUREMENT,,
